"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"462797","occ","","","16549","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","8803","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"462798","occ","27383","","16549","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","42488","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"463308","occ","27405","","45723","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","42488","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"465625","occ","40187","","46086","Pachycetus paulsonii","species","422523","","Pachycetus paulsonii","species","63087","Bartonian","Priabonian","41.2","33.9","82775","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","37"
"465626","occ","37083","","46086","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Bartonian","Priabonian","41.2","33.9","72902","Chordata","Mammalia","Cetacea","Basilosauridae","","37"
"480952","occ","","","48026","Zeuglodon n. sp. paulsonii","species","63087","recombined as","Pachycetus paulsonii","species","63087","Priabonian","","37.71","33.9","11981","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","106"
"480953","occ","","","48027","n. gen. Platyosphys paulsonii","species","63090","recombined as","Pachycetus paulsonii","species","63087","Priabonian","","37.71","33.9","29257","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","106"
"480954","occ","","","48028","Zeuglodon paulsonii","species","63087","recombined as","Pachycetus paulsonii","species","63087","Priabonian","","37.71","33.9","26362","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","106"
"493613","occ","27386","","49885","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","42488","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"493622","occ","15700","","5387","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Bartonian","","41.2","37.71","42488","Chordata","Mammalia","Cetacea","Basilosauridae","","107"
"493906","occ","","","49924","Zeuglodon isis","species","62984","recombined as","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","6026","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"534077","occ","","","55251","Zygorhiza kochii","species","53292","","Zygorhiza kochii","species","63069","Priabonian","","37.71","33.9","14727","Chordata","Mammalia","Cetacea","Basilosauridae","Zygorhiza","106"
"537345","occ","","","55689","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","15036","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"538313","occ","","","55868","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","15087","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"544467","occ","15588","","56937","Zygorhiza juddi","species","63135","nomen dubium","Basilosauridae","family","42936","Priabonian","","37.71","33.9","8335","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"545295","occ","","","49882","Basilosaurus sp.","genus","36681","","Basilosaurus","genus","36681","Bartonian","","41.2","37.71","15418","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","107"
"545368","occ","","","57122","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","15425","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"545369","occ","15701","","57123","Basilosaurus sp.","genus","36681","","Basilosaurus","genus","36681","Priabonian","","37.71","33.9","42488","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"557553","occ","","","57767","Platyosphys n. sp. einori","species","69585","subjective synonym of","Pachycetus paulsonii","species","63087","Priabonian","","37.71","33.9","15532","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","106"
"558243","occ","15671","","32916","Basilosaurus cetoides","species","53153","","Basilosaurus cetoides","species","63132","Priabonian","","37.71","33.9","15585","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"575050","occ","20475","","13403","Masracetus markgrafi","species","118889","","Masracetus markgrafi","species","118889","Priabonian","","37.71","33.9","26587","Chordata","Mammalia","Cetacea","Basilosauridae","Masracetus","106"
"575051","occ","","","60448","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"575052","occ","","","60449","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"575053","occ","","","60450","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"575054","occ","20176","","28983","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"575055","occ","","","45637","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"575056","occ","20174","","60451","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"575057","occ","","","49885","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Priabonian","","37.71","33.9","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"575058","occ","","","60452","Cynthiacetus maxwelli","species","63144","","Cynthiacetus maxwelli","species","63144","Bartonian","","41.2","37.71","12000","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","107"
"600687","occ","24765","","63838","Cynthiacetus n. sp. peruvianus","species","185633","","Cynthiacetus peruvianus","species","185633","Priabonian","","37.71","33.9","36185","Chordata","Mammalia","Cetacea","Basilosauridae","Cynthiacetus","106"
"613790","occ","","","47947","Zeuglodon n. sp. osiris","species","62982","recombined as","Saghacetus osiris","species","62982","Priabonian","","37.71","33.9","11950","Chordata","Mammalia","Cetacea","Basilosauridae","Saghacetus","106"
"613794","occ","","","65974","Zeuglodon n. sp. isis","species","62984","recombined as","Basilosaurus isis","species","62984","Priabonian","","37.71","33.9","11952","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
"666958","occ","40192","","71821","Pachycetus paulsonii","species","422523","","Pachycetus paulsonii","species","63087","Bartonian","","41.2","37.71","82775","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","107"
"684777","occ","","","73779","Basilosauridae indet.","family","42936","","Basilosauridae","family","42936","Priabonian","","37.71","33.9","38456","Chordata","Mammalia","Cetacea","Basilosauridae","","106"
"684778","occ","40206","","73780","Pachycetus paulsoni","species","36789","species not entered","Pachycetus","genus","36789","Bartonian","","41.2","37.71","82775","Chordata","Mammalia","Cetacea","Basilosauridae","Pachycetus","107"
"693592","occ","","","74737","Zeuglodon sp.","genus","53152","objective synonym of","Basilosaurus","genus","36681","Priabonian","","37.71","33.9","26770","Chordata","Mammalia","Cetacea","Basilosauridae","Basilosaurus","106"
