"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"38046","occ","","","2701","Gorbyoceras ? sp.","genus","12513","","Gorbyoceras","genus","12513","Eastonian","","452","449","86","1008"
"38135","occ","","","2707","Gorbyoceras ? sp.","genus","12513","","Gorbyoceras","genus","12513","Eastonian","","452","449","87","1008"
"38166","occ","","","2708","Gorbyoceras ? sp.","genus","12513","","Gorbyoceras","genus","12513","Gisbornian","Harnagian","458.4","457.4","87","1009"
"38195","occ","","","2709","Bactroceras sp.","genus","12332","","Bactroceras","genus","12332","Onnian","Eastonian","453.2","449","87","29"
"38322","occ","","","2725","Gorbyoceras ? sp.","genus","12513","","Gorbyoceras","genus","12513","Eastonian","","452","449","54519","1008"
"38352","occ","","","2727","Gorbyoceras ? sp.","genus","12513","","Gorbyoceras","genus","12513","Eastonian","","452","449","92","1008"
"38390","occ","","","2732","Gorbyoceras ? sp.","genus","12513","","Gorbyoceras","genus","12513","Eastonian","","452","449","92","1008"
"38392","occ","","","2732","Kionoceras sp.","genus","12529","","Kionoceras","genus","12529","Eastonian","","452","449","92","1008"
"38422","occ","","","2746","Bactroceras sp.","genus","12332","","Bactroceras","genus","12332","Onnian","Eastonian","453.2","449","97","29"
"38445","occ","","","2748","Bactroceras sp.","genus","12332","","Bactroceras","genus","12332","Eastonian","Bolindian","452","443.8","95","29"
"38492","occ","","","2751","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Eastonian","","452","449","92","1008"
"41095","occ","","","3236","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Llandovery","","443.8","433.4","148","62"
"42254","occ","","","3309","Orthoceras indianense","species","12557","species not entered","Orthoceras","genus","12557","Tournaisian","","358.9","346.7","146","55"
"43736","occ","","","3437","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","195","177"
"43748","occ","","","3438","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","195","177"
"43761","occ","","","3440","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","195","177"
"43783","occ","","","3442","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Late Famennian","","365.3","358.9","195","177"
"45118","occ","","","3559","Plagiostomoceras sp.","genus","12572","","Plagiostomoceras","genus","12572","Pragian","","410.8","407.6","207","182"
"47877","occ","","","3845","Dawsonoceras ? cf. americanum","species","12489","species not entered","Dawsonoceras","genus","12489","Eifelian","","393.3","387.7","257","180"
"47925","occ","","","3846","Dawsonoceras ? cf. americanum","species","12489","species not entered","Dawsonoceras","genus","12489","Eifelian","","393.3","387.7","257","180"
"48452","occ","","","2762","Polygrammoceras ? sp.","genus","12576","","Polygrammoceras","genus","12576","Soudleyan","Marshbrookian","458.4","454.2","101","1009"
"48479","occ","","","2763","Polygrammoceras ? sp.","genus","12576","","Polygrammoceras","genus","12576","Longvillian","Marshbrookian","457.4","454.2","102","1009"
"48502","occ","","","2764","Polygrammoceras ? sp.","genus","12576","","Polygrammoceras","genus","12576","Soudleyan","Marshbrookian","458.4","454.2","102","1009"
"48812","occ","","","2929","Ctenoceras ? sp.","genus","12484","","Ctenoceras","genus","12484","Late Llanvirn","","461.3","458.4","104","556"
"48846","occ","","","2930","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Early Llandeilo","","461.3","458.4","104","556"
"48864","occ","","","2931","Cochlioceras sp.","genus","12351","","Cochlioceras","genus","12351","Late Llanvirn","","461.3","458.4","104","556"
"48885","occ","","","2931","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Late Llanvirn","","461.3","458.4","104","556"
"48888","occ","","","2931","Polygrammoceras sp.","genus","12576","","Polygrammoceras","genus","12576","Late Llanvirn","","461.3","458.4","104","556"
"48925","occ","21780","","2933","Bactroceras avus","species","142787","","Bactroceras avus","species","142787","Lasnamagi","","460.4","458.9","29341","556"
"48928","occ","","","2933","Cochlioceras sp.","genus","12351","","Cochlioceras","genus","12351","Lasnamagi","","460.4","458.9","104","556"
"49072","occ","","","2942","Cochlioceras sp.","genus","12351","","Cochlioceras","genus","12351","Late Llanvirn","","461.3","458.4","106","556"
"49078","occ","","","2942","Kionoceras ? sp.","genus","12529","","Kionoceras","genus","12529","Late Llanvirn","","461.3","458.4","106","556"
"49083","occ","","","2942","Orthoceras ? sp.","genus","12557","","Orthoceras","genus","12557","Late Llanvirn","","461.3","458.4","106","556"
"49092","occ","","","2943","Cochlioceras burchardi","species","12351","species not entered","Cochlioceras","genus","12351","Lasnamagi","","460.4","458.9","106","556"
"49094","occ","","","2943","Ctenoceras sp.","genus","12484","","Ctenoceras","genus","12484","Lasnamagi","","460.4","458.9","106","556"
"49101","occ","","","2943","Kionoceras ? sp.","genus","12529","","Kionoceras","genus","12529","Lasnamagi","","460.4","458.9","106","556"
"49129","occ","","","2944","Polygrammoceras sp.","genus","12576","","Polygrammoceras","genus","12576","Lasnamagi","","460.4","458.9","106","556"
"49146","occ","","","2945","Ctenoceras sp.","genus","12484","","Ctenoceras","genus","12484","Soudleyan","Marshbrookian","458.4","454.2","107","1009"
"49162","occ","","","2945","Gorbyoceras ? sp.","genus","12513","","Gorbyoceras","genus","12513","Soudleyan","Marshbrookian","458.4","454.2","107","1009"
"49169","occ","","","2945","Kionoceras ? sp.","genus","12529","","Kionoceras","genus","12529","Soudleyan","Marshbrookian","458.4","454.2","107","1009"
"49186","occ","","","2945","Polygrammoceras ? sp.","genus","12576","","Polygrammoceras","genus","12576","Soudleyan","Marshbrookian","458.4","454.2","107","1009"
"49220","occ","","","2946","Orthoceras bifoveatum","species","12557","species not entered","Orthoceras","genus","12557","Lasnamagi","Uhaku","460.4","457.5","106","21"
"49261","occ","","","2947","Polygrammoceras ? sp.","genus","12576","","Polygrammoceras","genus","12576","Soudleyan","Marshbrookian","458.4","454.2","107","1009"
"49290","occ","","","2948","Ephippiorthoceras sp.","genus","12499","","Ephippiorthoceras","genus","12499","Soudleyan","Marshbrookian","458.4","454.2","107","1009"
"49309","occ","","","2948","Polygrammoceras ? sp.","genus","12576","","Polygrammoceras","genus","12576","Soudleyan","Marshbrookian","458.4","454.2","107","1009"
"49784","occ","","","3301","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Soudleyan","","458.4","457.4","156","1009"
"49813","occ","","","3302","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Soudleyan","","458.4","457.4","156","1009"
"49838","occ","","","3303","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Soudleyan","","458.4","457.4","156","1009"
"49877","occ","","","3304","Orthoceras sp.","genus","12557","","Orthoceras","genus","12557","Longvillian","","457.4","455.2","156","1009"
"51664","occ","","","3857","Eobactrites sandbergeri","species","147543","recombined as","Bactroceras sandbergeri","species","142792","Sarka","","467.3","461.7","227","556"
"51736","occ","","","3857","Tretoceras parvulum","species","142793","subjective synonym of","Bactroceras sandbergeri","species","142792","Sarka","","467.3","461.7","227","556"
"51928","occ","","","3863","""Orthoceras"" bisignatum","species","173867","","Orthoceras bisignatum","species","173867","Late Ordovician","Vinice","458.4","456.2","227","1009"
"52027","occ","","","3865","""Orthoceras"" bisignatum","species","173867","","Orthoceras bisignatum","species","173867","Late Ordovician","Zahorany","458.4","456.2","227","1009"
"52173","occ","","","3874","""Orthoceras"" bisignatum","species","173867","","Orthoceras bisignatum","species","173867","Bohdalec","","458","445.2","227","29"
"72642","occ","","","5323","Gorbyoceras crossi","species","12513","species not entered","Gorbyoceras","genus","12513","Ashgill","","449.6","443.8","316","29"
"72643","occ","","","5323","Gorbyoceras gorbyi","species","103357","","Gorbyoceras gorbyi","species","103355","Ashgill","","449.6","443.8","316","29"
"72644","occ","","","5323","Gorbyoceras hammelli","species","103362","","Gorbyoceras hammelli","species","103358","Ashgill","","449.6","443.8","316","29"
"72652","occ","","","5323","Treptoceras hitzi","species","103258","species not entered","Treptoceras","genus","103258","Ashgill","","449.6","443.8","316","29"
