"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"1598089","occ","","","225850","Gyroptychius pauli","species","416084","","Gyroptychius pauli","species","416084","Early Givetian","","387.95","385.9","81769","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","179"
"1598098","occ","","","225851","Gyroptychius elgae","species","416085","","Gyroptychius elgae","species","416085","Early Givetian","","387.95","385.9","61835","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","179"
"1598209","occ","","","225886","Gyroptychius sp.","genus","34923","","Gyroptychius","genus","34923","Early Givetian","","387.95","385.9","81769","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","179"
"1599553","occ","","","226045","Cryptolepis grossi","species","416110","","Cryptolepis grossi","species","416110","Middle Famennian","","368.5","365.2","61835","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Cryptolepis","177"
"1599899","occ","","","197071","Gyroptychius sp.","genus","34923","","Gyroptychius","genus","34923","Late Givetian","Early Frasnian","383.4","379","81925","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","19"
"1599904","occ","","","226077","Thursius ? sp.","genus","34956","","Thursius","genus","34956","Late Givetian","Early Frasnian","383.4","379","81925","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","19"
"1600051","occ","","","68049","cf. Hyneria sp.","genus","377246","","Hyneria","genus","377246","Famennian","","372.15","358.86","81928","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Hyneria","177"
"1600055","occ","","","68049","Osteolepiformes indet.","order","149977","","Osteolepiformes","order","149977","Famennian","","372.15","358.86","81928","Chordata","Osteichthyes","Osteolepiformes","","","177"
"1601176","occ","","","226394","Eusthenopteron sp.","genus","34918","","Eusthenopteron","genus","34918","Middle Frasnian","","379","375.2","61835","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenopteron","178"
"1640164","occ","","","232531","Osteolepiformes indet.","order","149977","","Osteolepiformes","order","149977","Tournaisian","","358.86","346.7","86707","Chordata","Osteichthyes","Osteolepiformes","","","55"
"1640174","occ","","","232533","Osteolepiformes indet.","order","149977","","Osteolepiformes","order","149977","Tournaisian","","358.86","346.7","86707","Chordata","Osteichthyes","Osteolepiformes","","","55"
"1640177","occ","","","232533","Medoevia sp.","genus","224857","","Medoevia","genus","224857","Tournaisian","","358.86","346.7","86707","Chordata","Osteichthyes","Osteolepiformes","Medoevididae","Medoevia","55"
"1645895","occ","","","233394","Rhizodopsis sp.","genus","260154","","Rhizodopsis","genus","260154","Westphalian A","","318.7","316.9","87484","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","52"
"1645896","occ","","","233394","Rhizodopsis sp.","genus","260154","","Rhizodopsis","genus","260154","Westphalian A","","318.7","316.9","87484","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","52"
"1645908","occ","","","233396","Rhizodopsis sp.","genus","260154","","Rhizodopsis","genus","260154","Westphalian A","","318.7","316.9","87484","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","52"
"1659147","occ","","","235483","Rhizodopsis sp.","genus","260154","","Rhizodopsis","genus","260154","Serpukhovian","","330.3","323.4","86573","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Rhizodopsis","53"
"1660128","occ","","","235656","n. gen. Edenopteron n. sp. keithcrooki","species","494733","","Edenopteron keithcrooki","species","494733","Late Famennian","","365.2","358.86","88970","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Edenopteron","177"
"1665339","occ","","","207370","Mandageria fairfaxi","species","242721","","Mandageria fairfaxi","species","242721","Famennian","","372.15","358.86","89556","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Mandageria","177"
"1679754","occ","","","225605","Marsdenichthys longioccipitus","species","242718","","Marsdenichthys longioccipitus","species","242718","Givetian","","387.95","382.31","81693","Chordata","Osteichthyes","Osteolepiformes","Eusthenopteridae","Marsdenichthys","179"
"1679810","occ","","","207370","Cabonnichthys burnsi","species","242668","","Cabonnichthys burnsi","species","242668","Famennian","","372.15","358.86","90290","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Cabonnichthys","177"
"1679823","occ","","","238046","Cladarosymblema narrienense","species","242674","","Cladarosymblema narrienense","species","242674","Visean","","346.7","330.3","42422","Chordata","Osteichthyes","Osteolepiformes","Megalichthyidae","Cladarosymblema","54"
"1679988","occ","","","238074","Eusthenodon gavini","species","242712","","Eusthenodon gavini","species","242712","Famennian","","372.15","358.86","90314","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenodon","177"
"1680055","occ","","","238085","Gyroptychius agassizi","species","416079","","Gyroptychius agassizi","species","416079","Eifelian","","393.47","387.95","43762","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","180"
"1680065","occ","","","226061","Gyroptychius sp.","genus","34923","","Gyroptychius","genus","34923","Eifelian","","393.47","387.95","43762","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","180"
"1680075","occ","","","226059","Gyroptychius sp.","genus","34923","","Gyroptychius","genus","34923","Eifelian","","393.47","387.95","43762","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","180"
"1680085","occ","","","226058","Gyroptychius sp.","genus","34923","","Gyroptychius","genus","34923","Eifelian","","393.47","387.95","43762","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","180"
"1680090","occ","","","238086","Thursius macrolepidotus","species","260273","","Thursius macrolepidotus","species","260272","Eifelian","","393.47","387.95","43762","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","180"
"1681074","occ","","","176220","Eusthenopteron sp.","genus","34918","","Eusthenopteron","genus","34918","Famennian","","372.15","358.86","90392","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenopteron","177"
"1681091","occ","","","238206","Cryptolepis grossi","species","416110","","Cryptolepis grossi","species","416110","Famennian","","372.15","358.86","90392","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Cryptolepis","177"
"1681092","occ","","","238206","Platycephalichthys sp.","genus","242814","","Platycephalichthys","genus","242814","Famennian","","372.15","358.86","90392","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Platycephalichthys","177"
"1681763","occ","","","238265","Eusthenodon bourdoni","species","502052","","Eusthenodon bourdoni","species","502052","Late Famennian","","365.2","358.86","90406","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenodon","177"
"1681768","occ","","","238265","Osteolepiformes indet.","order","149977","","Osteolepiformes","order","149977","Late Famennian","","365.2","358.86","90406","Chordata","Osteichthyes","Osteolepiformes","","","177"
"1681769","occ","","","176216","Eusthenodon wangsjoi","species","242711","","Eusthenodon wangsjoi","species","242711","Famennian","","372.15","358.86","57852","Chordata","Osteichthyes","Osteolepiformes","Tristichopteridae","Eusthenodon","177"
"1683354","occ","","","238486","Litoptychus bryanti","species","416102","","Litoptychus bryanti","species","416102","Frasnian","","382.31","372.15","90591","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Litoptychus","178"
"1683357","occ","","","238487","Litoptychus bryanti","species","416102","","Litoptychus bryanti","species","416102","Frasnian","","382.31","372.15","90591","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Litoptychus","178"
"1683364","occ","","","238489","Litoptychus bryanti","species","416102","","Litoptychus bryanti","species","416102","Frasnian","","382.31","372.15","90591","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Litoptychus","178"
"1683366","occ","","","238490","Litoptychus bryanti","species","416102","","Litoptychus bryanti","species","416102","Frasnian","","382.31","372.15","90591","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Litoptychus","178"
"1683373","occ","","","238491","Litoptychus bryanti","species","416102","","Litoptychus bryanti","species","416102","Frasnian","","382.31","372.15","90591","Chordata","Osteichthyes","Osteolepiformes","NO_FAMILY_SPECIFIED","Litoptychus","178"
"1683415","occ","","","238508","Medoevia lata","species","401387","","Medoevia lata","species","401387","Famennian","","372.15","358.86","40530","Chordata","Osteichthyes","Osteolepiformes","Medoevididae","Medoevia","177"
"1683642","occ","","","238519","Gyroptychius agassizi","species","416079","","Gyroptychius agassizi","species","416079","Middle Givetian","","385.9","383.4","90635","Chordata","Osteichthyes","Osteolepiformes","Gyroptychiidae","Gyroptychius","179"
"1683643","occ","","","238519","Thursius pholidotus","species","260274","","Thursius pholidotus","species","260274","Middle Givetian","","385.9","383.4","90635","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","179"
"1683649","occ","","","238520","Thursius pholidotus","species","260274","","Thursius pholidotus","species","260274","Eifelian","","393.47","387.95","90635","Chordata","Osteichthyes","Osteolepiformes","Thursiidae","Thursius","180"
