"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"976744","occ","","","90681","n. gen. Caridosuctor n. sp. populosum","species","199153","","Caridosuctor populosum","species","199153","Arnsbergian","","326.9","323.6","37551","Chordata","Coelacanthimorpha","Coelacanthiformes","Rhabdodermatidae","Caridosuctor","53"
"976745","occ","","","90681","n. gen. Hadronector n. sp. donbairdi","species","199156","","Hadronector donbairdi","species","199156","Arnsbergian","","326.9","323.6","37551","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Hadronector","53"
"976746","occ","","","90681","n. gen. Polyosteorhynchus n. sp. simplex","species","199157","","Polyosteorhynchus simplex","species","199157","Arnsbergian","","326.9","323.6","37551","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Polyosteorhynchus","53"
"976747","occ","","","116660","n. gen. Allenypterus n. sp. montanus","species","199158","","Allenypterus montanus","species","199158","Arnsbergian","","326.9","323.6","37552","Chordata","Coelacanthimorpha","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Allenypterus","53"
"976748","occ","","","90681","n. gen. Lochmocercus n. sp. aciculiodontus","species","199159","obsolete variant of","Lochmocercus aciculodontus","species","199159","Arnsbergian","","326.9","323.6","37551","Chordata","Coelacanthimorpha","Coelacanthiformes","NO_FAMILY_SPECIFIED","Lochmocercus","53"
"980205","occ","","","117215","Piveteauia madagascariensis","species","200338","","Piveteauia madagascariensis","species","200338","Dienerian","","250.5","249.9","37687","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Piveteauia","653"
"983969","occ","","","114000","n. gen. Chaohuichthys n. sp. majiashanensis","species","202180","","Chaohuichthys majiashanensis","species","202180","Smithian","","249.9","248.1","37910","Chordata","Coelacanthimorpha","Coelacanthiformes","Coelacanthidae","Chaohuichthys","652"
"984184","occ","","","117994","Undina sp.","genus","34958","","Undina","genus","34958","Illyrian","","243.33","241.464","37938","Chordata","Coelacanthimorpha","Coelacanthiformes","Latimeriidae","Undina","139"
"984186","occ","","","117996","n. gen. Parnaibaia n. sp. maranhaoensis","species","202302","","Parnaibaia maranhaoensis","species","202302","Oxfordian","Kimmeridgian","161.5","149.2","37940","Chordata","Coelacanthimorpha","Coelacanthiformes","Mawsoniidae","Parnaibaia","41"
"990584","occ","","","119443","Guizhoucoelacanthus guanlingensis","species","204122","","Guizhoucoelacanthus guanlingensis","species","204122","Ladinian","","241.464","237","38321","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Guizhoucoelacanthus","138"
"994928","occ","","","120229","Wimania n. sp. multistriata","species","204783","","Wimania multistriata","species","204783","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Wimania","652"
"994930","occ","","","120230","Wimania multistriata","species","204783","","Wimania multistriata","species","204783","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Wimania","652"
"994931","occ","","","120231","Wimania multistriata","species","204783","","Wimania multistriata","species","204783","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Wimania","652"
"994932","occ","","","120232","Wimania multistriata","species","204783","","Wimania multistriata","species","204783","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Coelacanthiformes","Whiteiidae","Wimania","652"
"995342","occ","","","120230","Sassenia n. sp. tuberculata","species","204784","","Sassenia tuberculata","species","204784","Smithian","","249.9","248.1","38416","Chordata","Coelacanthimorpha","Diplocercidiformes","Sassenidae","Sassenia","652"
