"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"75939","occ","","","5596","Imitoceras rotatorium","species","13743","species not entered","Imitoceras","genus","13743","Kinderhookian","","358.9","351.9","335","55"
"75940","occ","","","5596","Muensteroceras parallelum","species","278466","","Muensteroceras parallelum","species","278465","Kinderhookian","","358.9","351.9","335","55"
"75941","occ","","","5596","Muensteroceras oweni","species","110198","","Muensteroceras oweni","species","110197","Kinderhookian","","358.9","351.9","335","55"
"76183","occ","","","5603","Beyrichoceras trevallynense","species","297913","recombined as","Bollandites trevallynensis","species","297913","Visean","","346.7","330.9","336","54"
"76207","occ","","","5606","Beyrichoceras n. sp. trevallynense","species","297913","recombined as","Bollandites trevallynensis","species","297913","Holkerian","Brigantian","346.7","330.9","337","54"
"76391","occ","","","5611","Eumorphoceras girtyi","species","316235","","Eumorphoceras girtyi","species","316235","Serpukhovian","","330.9","323.2","343","53"
"76392","occ","","","5611","Cravenoceras sp.","genus","13666","","Cravenoceras","genus","13666","Serpukhovian","","330.9","323.2","343","53"
"76953","occ","","","5647","Cravenoceras hesperium","species","316731","recombined as","Eosyngastrioceras hesperium","species","316731","Serpukhovian","","330.9","323.2","348","53"
"78554","occ","","","5713","Goniatitacea indet.","superfamily","432499","misspelling of, corrected to","Goniatitoidea","superfamily","92991","Morrowan","","323.2","318.4","349","52"
"79805","occ","","","4097","Amoeboceras sp.","genus","14544","","Amoeboceras","genus","14544","Late Oxfordian","","157.9","154.8","41",""
"81461","occ","","","5821","Gattendorfia n. sp. uralica","species","13720","species not entered","Gattendorfia","genus","13720","Hastarian","","358.9","353.7","365","55"
"81462","occ","","","5821","Muensteroceras n. sp. modestum","species","13782","species not entered","Muensteroceras","genus","13782","Hastarian","","358.9","353.7","365","55"
"81463","occ","","","5821","Aquilonites n. sp. uralensis","species","13623","species not entered","Aquilonites","genus","13623","Hastarian","","358.9","353.7","365","55"
"81464","occ","","","5821","Goniocyclus n. sp. subtilis","species","13728","species not entered","Goniocyclus","genus","13728","Hastarian","","358.9","353.7","365","55"
"81465","occ","","","5821","Goniocyclus n. sp. dombarovensis","species","13728","species not entered","Goniocyclus","genus","13728","Hastarian","","358.9","353.7","365","55"
"81466","occ","","","5821","Goniocyclus n. sp. vodorezovi","species","13728","species not entered","Goniocyclus","genus","13728","Hastarian","","358.9","353.7","365","55"
"83277","occ","","","5960","Tornoceras simplex","species","341719","","Tornoceras simplex","species","298673","Early Famennian","","372.2","368.5","378","177"
"83278","occ","","","5960","Tornoceras haugi","species","341908","recombined as","Linguatornoceras haugi","species","341908","Early Famennian","","372.2","368.5","378","177"
"83279","occ","","","5960","Tornoceras acutum","species","250016","recombined as","Oxytornoceras acutum","species","250016","Early Famennian","","372.2","368.5","378","177"
"83280","occ","","","5960","Tornoceras ? escoti","species","341950","recombined as","Gundolficeras escoti","species","341950","Early Famennian","","372.2","368.5","378","177"
"83281","occ","","","5960","Tornoceras subundulatum","species","13918","species not entered","Tornoceras","genus","13918","Early Famennian","","372.2","368.5","378","177"
"83282","occ","","","5960","Tornoceras loeschmanni","species","341912","subjective synonym of","Linguatornoceras guestfalicum","species","341906","Early Famennian","","372.2","368.5","378","177"
"83283","occ","","","5960","Tornoceras eifliense","species","13918","species not entered","Tornoceras","genus","13918","Early Famennian","","372.2","368.5","378","177"
"83284","occ","","","5960","Tornoceras planidorsatum","species","346114","recombined as","Armatites planidorsatus","species","346110","Early Famennian","","372.2","368.5","378","177"
"83285","occ","","","5960","Lobotornoceras bilobatum","species","13765","species not entered","Lobotornoceras","genus","13765","Early Famennian","","372.2","368.5","378","177"
"83286","occ","","","5960","Lobotornoceras nehdense","species","482520","subjective synonym of","Exotornoceras superstes","species","326700","Early Famennian","","372.2","368.5","378","177"
"83287","occ","","","5960","Cheiloceras subpartitum","species","250023","recombined as","Cheiloceras (Cheiloceras) subpartitum","species","250022","Early Famennian","","372.2","368.5","378","177"
"83288","occ","","","5960","Cheiloceras planilobum","species","13656","species not entered","Cheiloceras","genus","13656","Early Famennian","","372.2","368.5","378","177"
"83289","occ","","","5960","Cheiloceras verneuili","species","250025","recombined as","Nehdenites verneuilii","species","250024","Early Famennian","","372.2","368.5","378","177"
"83290","occ","","","5960","Cheiloceras circumflexum","species","13656","species not entered","Cheiloceras","genus","13656","Early Famennian","","372.2","368.5","378","177"
"83291","occ","","","5960","Cheiloceras acutum","species","13656","species not entered","Cheiloceras","genus","13656","Early Famennian","","372.2","368.5","378","177"
"83292","occ","","","5960","Cheiloceras amblylobum","species","362859","recombined as","Cheiloceras (Cheiloceras) amblylobum","species","298109","Early Famennian","","372.2","368.5","378","177"
"83293","occ","","","5960","Cheiloceras sacculum","species","362755","","Cheiloceras sacculum","species","362754","Early Famennian","","372.2","368.5","378","177"
"83294","occ","","","5960","Cheiloceras ovatum","species","298685","recombined as","Puncticeras ovatus","species","298684","Early Famennian","","372.2","368.5","378","177"
"83295","occ","","","5960","Cheiloceras lagowiense","species","362773","recombined as","Puncticeras lagowiense","species","362773","Early Famennian","","372.2","368.5","378","177"
"83296","occ","","","5960","Cheiloceras curvispina","species","298244","recombined as","Staffites curvispinus","species","298243","Early Famennian","","372.2","368.5","378","177"
"83297","occ","","","5960","Cheiloceras oxyacantha","species","13656","species not entered","Cheiloceras","genus","13656","Early Famennian","","372.2","368.5","378","177"
"83298","occ","","","5960","Cheiloceras globosum","species","13656","species not entered","Cheiloceras","genus","13656","Early Famennian","","372.2","368.5","378","177"
"83299","occ","","","5960","Cheiloceras nehdense","species","13656","species not entered","Cheiloceras","genus","13656","Early Famennian","","372.2","368.5","378","177"
"83324","occ","","","5962","Ammonellipsites sp.","genus","13616","","Ammonellipsites","genus","13616","Chadian","","346.7","340.2","379","54"
"83325","occ","","","5962","Dzhaprakoceras sp.","genus","13688","","Dzhaprakoceras","genus","13688","Chadian","","346.7","340.2","379","54"
"83326","occ","","","5962","Eonomismoceras sp.","genus","13695","","Eonomismoceras","genus","13695","Chadian","","346.7","340.2","379","54"
"83327","occ","","","5962","Fascipericyclus sp.","genus","13715","","Fascipericyclus","genus","13715","Chadian","","346.7","340.2","379","54"
"83328","occ","","","5962","Pericyclus sp.","genus","13824","","Pericyclus","genus","13824","Chadian","","346.7","340.2","379","54"
"83343","occ","","","5963","Dzhaprakoceras sp.","genus","13688","","Dzhaprakoceras","genus","13688","Chadian","","346.7","340.2","379","54"
"83344","occ","","","5963","Rotopericyclus sp.","genus","13873","","Rotopericyclus","genus","13873","Chadian","","346.7","340.2","379","54"
"83362","occ","","","5965","Bollandoceras sp.","genus","13646","","Bollandoceras","genus","13646","Asbian","","340.2","336.3","379","54"
"83380","occ","41523","","5966","Bollandoceras micronotum","species","13646","species not entered","Bollandoceras","genus","13646","Asbian","","340.2","336.3","87507","54"
"83381","occ","41521","","5966","Bollandites castletonensis","species","13645","species not entered","Bollandites","genus","13645","Asbian","","340.2","336.3","87506","54"
"83382","occ","41522","","5966","Beyrichoceras delicatum","species","483584","","Beyrichoceras delicatum","species","483584","Asbian","","340.2","336.3","87506","54"
"83383","occ","","","5966","Beyrichoceratoides sp.","genus","13641","","Beyrichoceratoides","genus","13641","Asbian","","340.2","336.3","379","54"
"83384","occ","","","5966","Dimorphoceras sp.","genus","13678","","Dimorphoceras","genus","13678","Asbian","","340.2","336.3","379","54"
"83385","occ","41524","","5966","Goniatites hudsoni","species","316469","","Goniatites hudsoni","species","316469","Asbian","","340.2","336.3","87507","54"
"83386","occ","41525","","5966","Nomismoceras vittiger","species","483583","","Nomismoceras vittiger","species","315455","Asbian","","340.2","336.3","87507","54"
"83399","occ","","","5967","Goniatites striatus","species","278422","","Goniatites striatus","species","278421","Brigantian","","336.3","330.9","379","54"
"83407","occ","","","5968","Goniatites granosus","species","157686","","Goniatites granosus","species","157686","Brigantian","","336.3","330.9","379","54"
"83408","occ","","","5968","Sudeticeras sp.","genus","13898","","Sudeticeras","genus","13898","Brigantian","","336.3","330.9","379","54"
"83896","occ","","","5991","Goniatites sp.","genus","13727","","Goniatites","genus","13727","Asbian","","340.2","336.3","382","54"
"84027","occ","","","5992","Goniatites cf. antiquatus","species","316451","","Goniatites antiquatus","species","316451","Asbian","","340.2","336.3","382","54"
"84028","occ","","","5992","Goniatites sp.","genus","13727","","Goniatites","genus","13727","Asbian","","340.2","336.3","382","54"
"85931","occ","","","6208","Gattendorfia (Gattendorfia) bransoni","species","297939","","Gattendorfia (Gattendorfia) bransoni","species","297938","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85932","occ","","","6209","Gattendorfia (Gattendorfia) bransoni","species","297939","","Gattendorfia (Gattendorfia) bransoni","species","297938","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85933","occ","","","6209","Pericyclus (Goniocyclus) n. sp. cooperi","species","297945","","Pericyclus (Goniocyclus) cooperi","species","297945","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85934","occ","","","6209","Pericyclus (Goniocyclus) n. sp. costulatus","species","297946","","Pericyclus (Goniocyclus) costulatus","species","297946","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85935","occ","","","6210","Pericyclus (Goniocyclus) n. sp. cooperi","species","297945","","Pericyclus (Goniocyclus) cooperi","species","297945","Kinderhookian","Ivorian","358.9","346.7","392","55"
"85936","occ","","","6211","Gattendorfia (Gattendorfia) bransoni","species","297939","","Gattendorfia (Gattendorfia) bransoni","species","297938","Kinderhookian","Ivorian","358.9","346.7","392","55"
