"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","cx_int_no"
"487132","occ","","","48831","Asiatoceratodus tiguidensis","species","65131","species not entered","Asiatoceratodus","genus","65131","Tithonian","","149.2","143.1","13013","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Asiatoceratodus","124"
"487139","occ","","","48832","Ceratodontidae indet.","family","57670","","Ceratodontidae","family","57670","Tithonian","","149.2","143.1","13013","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","","124"
"487153","occ","","","48841","Asiatoceratodus tiguidensis","species","65131","species not entered","Asiatoceratodus","genus","65131","Tithonian","","149.2","143.1","13013","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Asiatoceratodus","124"
"487233","occ","","","48867","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Late Coniacian","Santonian","89.8","83.6","13027","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","39"
"488646","occ","","","49097","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Middle Turonian","Late Turonian","93.9","89.8","13114","Chordata","Osteichthyes","Dipnoi","","","116"
"490802","occ","21981","","45975","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Late Kimmeridgian","Early Tithonian","152.21","145.06","13255","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","41"
"491063","occ","41359","","49557","Atlantoceratodus patagonicus","species","479469","","Atlantoceratodus patagonicus","species","479469","Late Campanian","Early Maastrichtian","83.6","66","86689","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Atlantoceratodus","39"
"491448","occ","","","39412","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Tithonian","","149.2","143.1","10638","Chordata","Osteichthyes","Dipnoi","","","124"
"498262","occ","","","50354","Ceratodus frazieri","species","57680","","Ceratodus frazieri","species","57680","Aptian","Early Albian","121.4","110.1","13525","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","40"
"498875","occ","","","50476","Dipnoi ? indet.","order","57668","","Dipnoi","order","57668","Middle Albian","Early Cenomanian","110.1","93.9","13525","Chordata","Osteichthyes","Dipnoi","","","14"
"504249","occ","","","47803","Ceratodus parvus","species","210021","","Ceratodus parvus","species","210021","Norian","","227.3","205.7","71681","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","136"
"506486","occ","","","45652","Neoceratodus djelleh","species","391430","","Neoceratodus djelleh","species","391430","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506487","occ","","","45652","Neoceratodus eyrensis","species","194498","","Neoceratodus eyrensis","species","194497","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506488","occ","","","45652","Neoceratodus gregoryi","species","194502","","Neoceratodus gregoryi","species","194501","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506489","occ","","","45652","Neoceratodus sp. 1 informal","species","91691","species not entered","Neoceratodus","genus","91691","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506490","occ","","","45652","Neoceratodus sp. 4 informal","species","91691","species not entered","Neoceratodus","genus","91691","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506504","occ","","","51412","Archaeoceratodus djelleh","species","321116","","Archaeoceratodus djelleh","species","321116","Late Oligocene","","27.3","23.04","89034","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Archaeoceratodus","104"
"506505","occ","","","51412","Neoceratodus forsteri","species","194486","","Neoceratodus forsteri","species","194485","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506506","occ","","","51412","Neoceratodus eyrensis","species","194498","","Neoceratodus eyrensis","species","194497","Late Oligocene","","27.3","23.04","89034","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506507","occ","","","51412","Mioceratodus gregoryi","species","321115","","Mioceratodus gregoryi","species","321115","Late Oligocene","","27.3","23.04","89034","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Mioceratodus","104"
"506508","occ","","","51412","Neoceratodus nargun","species","321105","","Neoceratodus nargun","species","321105","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506509","occ","41907","","51412","Mioceratodus n. sp. poastrus","species","321123","","Mioceratodus poastrus","species","321123","Late Oligocene","","27.3","23.04","89034","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Mioceratodus","104"
"506510","occ","41906","","51412","Archaeoceratodus rowleyi","species","321113","","Archaeoceratodus rowleyi","species","321113","Late Oligocene","","27.3","23.04","89034","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Archaeoceratodus","104"
"506511","occ","41905","","51412","Archaeoceratodus n. sp. theganus","species","321117","","Archaeoceratodus theganus","species","321117","Late Oligocene","","27.3","23.04","89034","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Archaeoceratodus","104"
"506512","occ","41908","","51412","Mioceratodus diaphorus","species","321122","","Mioceratodus diaphorus","species","321122","Late Oligocene","","27.3","23.04","89034","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Mioceratodus","104"
"506538","occ","","","51413","Neoceratodus djelleh","species","391430","","Neoceratodus djelleh","species","391430","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506539","occ","","","51413","Neoceratodus eyrensis","species","194498","","Neoceratodus eyrensis","species","194497","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506540","occ","","","51413","Neoceratodus gregoryi","species","194502","","Neoceratodus gregoryi","species","194501","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506541","occ","","","51413","Neoceratodus sp. 1 informal","species","91691","species not entered","Neoceratodus","genus","91691","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"506542","occ","","","51413","Neoceratodus sp. 4 informal","species","91691","species not entered","Neoceratodus","genus","91691","Late Oligocene","","27.3","23.04","13672","Chordata","Osteichthyes","Dipnoi","Neoceratodontidae","Neoceratodus","104"
"516812","occ","40813","","52352","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Valanginian","","137.05","132.6","85049","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","122"
"520092","occ","","","52961","Ceratodus segnis","species","54495","species not entered","Ceratodus","genus","54495","Late Bathonian","","168.2","165.3","14308","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","128"
"529359","occ","","","54082","""Ceratodus"" tuberculatus","species","91692","","Ceratodus tuberculatus","species","91692","Middle Campanian","","83.6","72.2","14609","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","113"
"533971","occ","","","55246","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Middle Albian","Early Cenomanian","110.1","93.9","14710","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","14"
"538725","occ","","","56047","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Alaunian","","215.38","211.18","15111","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","136"
"539269","occ","37838","","49636","Ceratodus fossanovum","species","54495","species not entered","Ceratodus","genus","54495","Kimmeridgian","Tithonian","154.8","143.1","75375","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","41"
"540249","occ","42271","","56365","Ceratodus brasiliensis","species","321106","","Ceratodus brasiliensis","species","321106","Cenomanian","","100.5","93.9","90885","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","117"
"540437","occ","40947","","49598","Ceratodus guentheri","species","57674","","Ceratodus guentheri","species","57674","Tithonian","","149.2","143.1","85444","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","124"
"541419","occ","","","56654","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Early Tithonian","","149.2","145.06","15179","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","124"
"557185","occ","","","57685","Dipnoi indet.","order","57668","","Dipnoi","order","57668","Norian","","227.3","205.7","15512","Chordata","Osteichthyes","Dipnoi","","","136"
"558337","occ","","","57944","Ceratodus laevissimus","species","54495","species not entered","Ceratodus","genus","54495","Anisian","","246.7","241.464","15587","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","139"
"558384","occ","25855","","122362","Ceratodus sp.","genus","54495","","Ceratodus","genus","54495","Rhaetian","","205.7","201.4","38111","Chordata","Osteichthyes","Dipnoi","Ceratodontidae","Ceratodus","135"
