"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","cx_int_no"
"349042","occ","","","33194","Xenodiscus n. sp. multicameratus","species","265440","recombined as","Inyoceras multicameratus","species","265440","Spathian","","248.9","247.2","8848","652"
"349061","occ","","","33197","Acrochordiceras n. sp. alternans","species","265428","subjective synonym of","Acrochordiceras hyatti","species","172642","Anisian","","247.2","242","8848","139"
"349065","occ","","","33197","Dinarites n. sp. bonaevistae","species","186152","recombined as","Platycuccoceras bonaevistae","species","186152","Anisian","","247.2","242","8855","139"
"349067","occ","","","33197","Balatonites n. sp. hadleyi","species","265465","recombined as","Unionvillites hadleyi","species","265465","Anisian","","247.2","242","8848","139"
"349070","occ","","","33197","Ceratites (Gymnotoceras) blakei","species","265337","recombined as","Gymnotoceras blakei","species","174452","Anisian","","247.2","242","8848","139"
"349092","occ","","","33201","Balatonites n. sp. kingi","species","265493","","Balatonites kingi","species","265493","Pelsonian","","244.7","243.8","8848","139"
"349093","occ","","","33201","Balatonites n. sp. shoshonensis","species","192986","","Balatonites shoshonensis","species","192986","Pelsonian","","244.7","243.8","8855","139"
"349094","occ","28585","","33201","Acrochordiceras carolinae","species","197615","","Acrochordiceras carolinae","species","197615","Pelsonian","","244.7","243.8","34222","139"
"349095","occ","","","33202","Joannites n. sp. nevadanus","species","265318","recombined as","Proarcestes nevadanus","species","265318","Lacian","","227","216.7","8855","136"
"349247","occ","","","33207","Trachyceras (Protrachyceras) meeki","species","265503","recombined as","Eoprotrachyceras meeki","species","265210","Anisian","","247.2","242","8855","139"
"349250","occ","","","33207","Ceratites humboldtensis","species","265335","subjective synonym of","Frechites nevadanus","species","181634","Anisian","","247.2","242","8848","139"
"349251","occ","","","33207","Longobardites nevadanus","species","181686","recombined as","Intornites nevadanus","species","181686","Anisian","","247.2","242","8848","139"
"349252","occ","","","33207","Acrochordiceras hyatti","species","172642","","Acrochordiceras hyatti","species","172642","Anisian","","247.2","242","8855","139"
"349253","occ","","","33207","Beyrichites rotelliformis","species","186151","recombined as","Gymnotoceras rotelliformis","species","181690","Anisian","","247.2","242","8848","139"
"349285","occ","","","142669","Tropigastrites n. sp. lahontanus","species","197649","","Tropigastrites lahontanus","species","197649","Illyrian","","243.8","242","8848","139"
"349286","occ","","","142670","Sibyllites n. sp. louderbacki","species","197650","recombined as","Tropigastrites louderbacki","species","197650","Illyrian","","243.8","242","8855","139"
"349287","occ","28495","","142670","Celtites n. sp. gemmellaroi","species","265380","recombined as","Tozerites gemmellaroi","species","265380","Illyrian","","243.8","242","10526","139"
"349288","occ","28504","","142669","Tropigastrites lahontanus","species","197649","","Tropigastrites lahontanus","species","197649","Illyrian","","243.8","242","10526","139"
"349289","occ","","","142670","Tropigastrites n. sp. powelli","species","198886","subjective synonym of","Tropigastrites louderbacki","species","197650","Illyrian","","243.8","242","8848","139"
"349290","occ","","","142669","Tropigastrites n. sp. rothpletzi","species","265424","subjective synonym of","Tropigastrites lahontanus","species","197649","Illyrian","","243.8","242","8848","139"
"349291","occ","","","142670","Tropigastrites n. sp. obliterans","species","265423","subjective synonym of","Tropigastrites louderbacki","species","197650","Illyrian","","243.8","242","8848","139"
"349292","occ","","","142670","Tropigastrites n. sp. trojanus","species","198887","subjective synonym of","Tropigastrites louderbacki","species","197650","Illyrian","","243.8","242","8848","139"
"349293","occ","","","142671","Celtites n. sp. gabbi","species","265425","subjective synonym of","Tozerites polygyratus","species","250947","Illyrian","","243.8","242","8848","139"
"349294","occ","","","142671","Celtites n. sp. polygyratus","species","250947","recombined as","Tozerites polygyratus","species","250947","Illyrian","","243.8","242","8848","139"
"349295","occ","","","142671","Columbites n. sp. humboldtensis","species","265426","recombined as","Tozerites humboldtensis","species","265426","Illyrian","","243.8","242","8848","139"
"349296","occ","","","142671","Columbites n. sp. plicatulus","species","265427","subjective synonym of","Tozerites humboldtensis","species","265426","Illyrian","","243.8","242","8848","139"
"349301","occ","","","33225","Arcestes (Proarcestes) n. sp. hartzelli","species","265432","subjective synonym of","Proarcestes balfouri","species","265565","Illyrian","","243.8","242","8848","139"
"349302","occ","","","142671","Arcestes (Proarcestes) gabbi","species","265431","recombined as","Proarcestes gabbi","species","265394","Illyrian","","243.8","242","8848","139"
"349304","occ","28506","","33225","Proarcestes cf. balfouri","species","265566","","Proarcestes balfouri","species","265565","Illyrian","","243.8","242","10526","139"
"349305","occ","","","142671","Nannites n. sp. contractus","species","265433","recombined as","Thanamites contractus","species","265433","Illyrian","","243.8","242","8848","139"
"349306","occ","","","33225","Ptychites n. sp. evansi","species","265435","","Ptychites evansi","species","265435","Illyrian","","243.8","242","8848","139"
"349307","occ","","","142671","Megaphyllites n. sp. septentrionalis","species","265430","recombined as","Humboldtites septentrionalis","species","265430","Illyrian","","243.8","242","8848","139"
"349309","occ","28111","","33225","Sageceras cf. walteri","species","197610","","Sageceras walteri","species","197610","Illyrian","","243.8","242","44490","139"
"349310","occ","","","33225","Gymnites perplanus","species","250921","","Gymnites perplanus","species","250920","Illyrian","","243.8","242","8848","139"
"349311","occ","","","142671","Gymnites n. sp. calli","species","265437","","Gymnites calli","species","265437","Illyrian","","243.8","242","8848","139"
"349312","occ","","","142671","Gymnites n. sp. alexandrae","species","265436","recombined as","Epigymnites alexandrae","species","265436","Illyrian","","243.8","242","8848","139"
"349332","occ","","","142669","Gymnites (Anagymnites) n. sp. rosenbergi","species","265439","subjective synonym of","Tropigastrites lahontanus","species","197649","Illyrian","","243.8","242","8848","139"
"349333","occ","28505","","142669","Tropigymnites ? cf. planorbis","species","265556","","Tropigymnites planorbis","species","265555","Illyrian","","243.8","242","10526","139"
"349334","occ","","","142669","Hungarites n. sp. fittingensis","species","198869","subjective synonym of","Eutomoceras dalli","species","197641","Illyrian","","243.8","242","8848","139"
"349335","occ","","","33225","Dalmatites n. sp. minutus","species","198882","subjective synonym of","Longobardites parvus","species","197645","Illyrian","","243.8","242","8848","139"
"349336","occ","","","33225","Dalmatites n. sp. parvus","species","197645","recombined as","Longobardites parvus","species","197645","Illyrian","","243.8","242","8848","139"
"349337","occ","","","142670","Eutomoceras n. sp. breweri","species","198871","subjective synonym of","Eutomoceras dunni","species","197642","Illyrian","","243.8","242","8848","139"
"349338","occ","","","142669","Eutomoceras (Halilucites) n. sp. dalli","species","197641","recombined as","Eutomoceras dalli","species","197641","Illyrian","","243.8","242","8848","139"
"349339","occ","","","142670","Eutomoceras n. sp. dunni","species","197642","","Eutomoceras dunni","species","197642","Illyrian","","243.8","242","8848","139"
"349340","occ","","","142669","Eutomoceras n. sp. lahontanum","species","265441","","Eutomoceras lahontanum","species","265441","Illyrian","","243.8","242","8848","139"
"349341","occ","28530","","142670","Eutomoceras dunni","species","197642","","Eutomoceras dunni","species","197642","Illyrian","","243.8","242","10526","139"
"349342","occ","28533","","33225","Longobardites parvus","species","198881","","Longobardites parvus","species","197645","Illyrian","","243.8","242","10526","139"
"349343","occ","","","142671","Lecanites n. sp. parvus","species","265446","recombined as","Aplococeras parvus","species","265446","Illyrian","","243.8","242","8848","139"
"349344","occ","","","142670","Lecanites n. sp. nudus","species","265445","subjective synonym of","Aplococeras vogdesi","species","186148","Illyrian","","243.8","242","8848","139"
"349345","occ","","","142670","Lecanites n. sp. vogdesi","species","186148","recombined as","Aplococeras vogdesi","species","186148","Illyrian","","243.8","242","8855","139"
